Date,Open,High,Low,Close,Adj Close,Volume
2024-01-25,162.750000,163.199997,161.089996,162.000000,161.042542,293600
2024-01-26,162.559998,163.300003,162.009995,162.240005,161.281128,281100
2024-01-29,162.330002,164.970001,162.110001,164.970001,163.994980,512200
2024-01-30,164.289993,164.779999,163.619995,163.929993,162.961136,318900
2024-01-31,163.130005,164.479996,160.270004,160.380005,159.432114,348900
2024-02-01,161.619995,162.529999,159.500000,162.479996,161.519699,423100
2024-02-02,161.389999,163.289993,160.339996,162.580002,161.619125,420800
2024-02-05,161.440002,161.440002,159.190002,160.559998,159.611053,397900
2024-02-06,160.869995,162.020004,160.410004,161.929993,160.972946,481600
2024-02-07,162.649994,163.220001,161.130005,162.470001,161.509766,353600
2024-02-08,162.649994,164.830002,162.190002,164.600006,163.627167,398800
2024-02-09,165.179993,166.850006,165.119995,166.559998,165.575592,257000
2024-02-12,166.820007,169.050003,166.820007,168.259995,167.265533,389500
2024-02-13,163.529999,165.059998,162.029999,163.300003,162.334854,307400
2024-02-14,165.339996,166.860001,164.550003,166.690002,165.704819,405700
2024-02-15,167.690002,169.619995,167.580002,169.429993,168.428619,449900
2024-02-16,168.149994,169.500000,167.460007,167.889999,166.897720,400300
2024-02-20,166.330002,166.639999,165.100006,165.880005,164.899597,199300
2024-02-21,164.600006,165.050003,163.830002,164.960007,163.985046,328600
2024-02-22,166.410004,167.460007,166.039993,167.179993,166.191910,221900
2024-02-23,167.580002,168.369995,166.860001,167.750000,166.758545,425700
2024-02-26,167.539993,168.679993,167.119995,168.270004,167.275482,236900
2024-02-27,169.240005,169.970001,169.080002,169.710007,168.706985,235400
2024-02-28,168.839996,169.929993,168.309998,169.029999,168.030975,261600
2024-02-29,170.139999,170.929993,168.759995,169.940002,168.935623,395000
2024-03-01,170.600006,171.679993,169.449997,171.500000,170.486389,339300
2024-03-04,171.949997,172.399994,171.250000,171.520004,170.506287,278800
2024-03-05,170.210007,171.070007,168.789993,169.350006,168.349106,260800
2024-03-06,171.380005,171.600006,170.130005,171.039993,170.029099,240400
2024-03-07,171.910004,172.690002,171.710007,172.339996,171.321426,607200
2024-03-08,173.169998,174.580002,171.149994,171.850006,170.834335,510400
2024-03-11,171.279999,171.710007,170.279999,170.740005,169.730881,441000
2024-03-12,170.979996,171.699997,169.880005,171.210007,170.198105,329800
2024-03-13,171.250000,172.410004,171.169998,171.610001,170.595734,369200
2024-03-14,171.690002,171.899994,167.830002,169.149994,168.150284,343400
2024-03-15,168.500000,169.710007,168.500000,168.970001,167.971344,205900
2024-03-18,169.639999,169.679993,168.339996,168.610001,167.613464,270600
2024-03-19,167.869995,169.880005,167.869995,169.479996,168.478317,352600
2024-03-20,169.360001,173.119995,169.210007,172.529999,171.510300,309500
2024-03-21,173.850006,175.160004,173.619995,174.270004,173.240021,260300
2024-03-22,173.860001,173.970001,171.940002,172.119995,171.556549,273300
2024-03-25,172.179993,172.990005,172.179993,172.289993,171.725983,232300
2024-03-26,173.369995,173.610001,172.259995,172.309998,171.745926,286300
2024-03-27,173.789993,174.910004,172.889999,174.910004,174.337418,308100
2024-03-28,175.169998,176.199997,175.139999,175.270004,174.696243,334700
2024-04-01,175.460007,175.460007,173.539993,173.720001,173.151306,382300
2024-04-02,171.699997,171.800003,170.509995,171.210007,170.649536,310500
2024-04-03,170.759995,172.490005,170.550003,172.050003,171.486786,303900
2024-04-04,173.539993,174.050003,169.929993,170.149994,169.592987,464400
2024-04-05,170.289993,172.380005,170.100006,171.720001,171.157852,402600
2024-04-08,172.710007,172.910004,171.779999,172.630005,172.064880,267300
2024-04-09,173.000000,173.460007,171.490005,172.910004,172.343964,177100
2024-04-10,169.240005,170.850006,168.580002,169.380005,168.825516,288100
2024-04-11,170.279999,170.699997,168.619995,170.360001,169.802307,260900
2024-04-12,169.250000,169.630005,166.529999,167.240005,166.692520,230800
2024-04-15,168.039993,168.610001,163.770004,164.190002,163.652512,567600
2024-04-16,163.619995,164.580002,162.440002,163.600006,163.064438,321900
2024-04-17,164.639999,164.679993,162.080002,162.250000,161.718857,269600
2024-04-18,162.539993,164.020004,161.509995,161.990005,161.459717,276400
2024-04-19,161.539993,163.009995,160.669998,161.820007,161.290268,411800
2024-04-22,162.639999,164.399994,161.750000,163.529999,162.994659,459100
2024-04-23,163.970001,166.949997,163.800003,166.279999,165.735657,414900
2024-04-24,166.500000,167.139999,164.940002,165.899994,165.356903,245000
2024-04-25,164.009995,165.539993,162.929993,165.169998,164.629303,313900
2024-04-26,165.919998,166.940002,165.330002,166.509995,165.964905,205200
2024-04-29,167.020004,167.899994,166.580002,167.369995,166.822098,280100
2024-04-30,166.229996,166.529999,163.910004,163.910004,163.373428,207200
2024-05-01,164.070007,167.759995,163.589996,164.580002,164.041229,364700
2024-05-02,166.509995,167.470001,164.289993,167.130005,166.582886,2149200
2024-05-03,169.750000,170.270004,168.029999,168.479996,167.928452,196800
2024-05-06,169.639999,170.970001,169.639999,170.880005,170.320618,1665600
2024-05-07,170.970001,171.649994,170.419998,170.589996,170.031555,170200
2024-05-08,169.399994,169.929993,169.070007,169.690002,169.134506,157900
2024-05-09,169.899994,171.339996,169.570007,171.229996,170.669449,173400
2024-05-10,171.910004,172.050003,170.300003,170.589996,170.031555,144200
2024-05-13,171.649994,172.350006,170.750000,170.800003,170.240875,212300
2024-05-14,172.199997,172.820007,171.679993,172.449997,171.885468,182400
2024-05-15,174.199997,174.559998,173.220001,174.440002,173.868958,194600
2024-05-16,174.179993,174.350006,173.270004,173.270004,172.702789,196600
2024-05-17,173.279999,173.610001,172.830002,173.419998,172.852295,237400
2024-05-20,173.440002,174.320007,173.250000,173.990005,173.420425,213000
2024-05-21,173.440002,173.610001,173.039993,173.410004,172.842331,151200
2024-05-22,172.970001,173.570007,171.619995,172.410004,171.845596,191300
2024-05-23,173.160004,173.160004,169.199997,169.759995,169.204269,171500
2024-05-24,170.500000,171.509995,170.050003,171.240005,170.679428,183900
2024-05-28,172.029999,172.029999,169.729996,170.559998,170.001648,221800
2024-05-29,168.550003,168.990005,168.139999,168.589996,168.038101,237100
2024-05-30,168.850006,169.699997,168.419998,168.979996,168.426819,356500
2024-05-31,169.479996,170.250000,167.270004,169.619995,169.064728,230900
2024-06-03,170.729996,170.919998,167.449997,168.630005,168.077972,171100
2024-06-04,167.929993,168.139999,166.649994,166.860001,166.313766,299300
2024-06-05,167.869995,169.309998,167.000000,169.279999,168.725845,167300
2024-06-06,168.940002,169.500000,168.250000,168.550003,167.998230,209000
2024-06-07,167.289993,168.399994,166.669998,167.130005,166.582886,192500
2024-06-10,166.210007,168.270004,166.000000,168.110001,167.559677,178600
2024-06-11,166.949997,167.850006,165.899994,167.589996,167.041367,223300
2024-06-12,170.880005,172.080002,169.509995,169.979996,169.423553,227200
2024-06-13,169.949997,169.949997,167.479996,168.389999,167.838760,179000
2024-06-14,166.979996,167.080002,165.580002,166.410004,165.865250,213200
2024-06-17,165.970001,167.919998,165.529999,167.630005,167.081253,245900
2024-06-18,167.559998,168.479996,167.460007,167.889999,167.340393,528000
2024-06-20,167.860001,168.389999,166.759995,167.419998,166.871933,343400
2024-06-21,167.369995,167.759995,166.199997,167.759995,167.210815,268500
2024-06-24,167.839996,169.509995,167.839996,168.300003,167.749054,281200
2024-06-25,168.320007,168.320007,167.149994,167.619995,167.071274,174400
2024-06-26,167.110001,167.669998,166.589996,167.509995,166.961639,195300
2024-06-27,167.360001,168.619995,167.169998,168.619995,168.067993,293200
2024-06-28,168.820007,169.899994,167.610001,168.789993,168.789993,289000
2024-07-01,169.110001,169.479996,167.259995,167.669998,167.669998,266600
2024-07-02,167.580002,168.350006,167.429993,168.190002,168.190002,311200
2024-07-03,168.389999,169.419998,168.300003,168.550003,168.550003,171600
2024-07-05,168.160004,168.279999,167.240005,167.940002,167.940002,241100
2024-07-08,168.789993,169.529999,168.330002,168.550003,168.550003,231600
2024-07-09,168.509995,168.619995,167.330002,167.660004,167.660004,245300
2024-07-10,168.169998,169.139999,167.550003,169.110001,169.110001,204700
2024-07-11,171.419998,173.389999,171.210007,172.979996,172.979996,377200
2024-07-12,174.149994,175.759995,173.979996,174.820007,174.820007,284800
2024-07-15,175.759995,177.919998,175.279999,176.869995,176.869995,423400
2024-07-16,177.889999,181.630005,177.889999,181.419998,181.419998,487500
2024-07-17,179.500000,181.899994,178.570007,178.570007,178.570007,547600
2024-07-18,178.580002,180.570007,175.169998,175.809998,175.809998,1400300
2024-07-19,175.770004,176.270004,174.639999,175.300003,175.300003,530300
2024-07-22,176.300003,177.899994,174.559998,177.750000,177.750000,1582100
2024-07-23,177.199997,179.309998,177.169998,178.550003,178.550003,1045200
2024-07-24,177.419998,178.690002,174.059998,174.119995,174.119995,906600
2024-07-25,174.389999,178.869995,174.350006,176.009995,176.009995,852600
2024-07-26,178.279999,179.490005,177.479996,178.789993,178.789993,633100
2024-07-29,179.479996,179.800003,177.399994,177.880005,177.880005,452500
2024-07-30,178.339996,179.580002,176.820007,177.929993,177.929993,382500
2024-07-31,179.610001,182.240005,178.070007,179.440002,179.440002,626800
2024-08-01,179.300003,180.259995,173.270004,174.520004,174.520004,492100
2024-08-02,170.119995,170.119995,166.970001,168.949997,168.949997,497200
2024-08-05,159.949997,166.070007,159.389999,163.979996,163.979996,645900
2024-08-06,165.009995,167.889999,163.660004,165.679993,165.679993,540900
2024-08-07,168.360001,168.710007,163.860001,164.050003,164.050003,278200
2024-08-08,166.009995,168.520004,165.339996,168.449997,168.449997,318900
2024-08-09,168.570007,169.000000,167.509995,168.500000,168.500000,287100
2024-08-12,168.850006,169.000000,166.940002,167.250000,167.250000,337200
2024-08-13,168.210007,170.550003,168.139999,170.220001,170.220001,236400
2024-08-14,170.860001,170.960007,169.190002,170.089996,170.089996,283000
2024-08-15,173.000000,174.529999,172.619995,174.009995,174.009995,438600
2024-08-16,173.419998,174.889999,173.389999,174.360001,174.360001,177400
